age,income,assets,credit_score,debt_to_income_ratio,existing_loan,criminal_record,credit_tier,high_debt,asset_income_ratio,age_group,income_per_age,payment_capacity,credit_utilization_proxy
52.0,122834.0,688515.0,753.0,0.39,1,1,3,0,5.605202100378556,2,2317.622641509434,6244.061666666667,1.6281871763977987e-05
39.0,111362.0,1215465.0,727.0,0.3,0,0,2,0,10.914441960076507,1,2784.05,6496.116666666666,0.0
39.0,33196.0,909001.0,628.8813357532248,0.24,0,0,1,0,27.382022471910112,1,829.9,2102.4133333333334,0.0
39.0,121726.0,879673.0,757.0,0.45,1,0,3,1,7.22660543675602,1,3043.15,5579.108333333334,1.6430073606729758e-05
25.0,58724.0,75628.0,850.0,0.3,1,0,4,0,1.2878331204767985,0,2258.6153846153848,3425.566666666666,3.4056465619997955e-05
32.0,121293.0,152960.0,593.0,0.32,0,1,1,0,1.2610681484657114,1,3675.5454545454545,6873.2699999999995,0.0
57.0,129383.0,940639.0,644.0422719996601,0.1734094948131378,1,0,1,0,7.270133865083782,2,2230.7413793103447,8912.229944382649,1.545774239672296e-05
23.0,58668.0,252177.0,835.0,0.5,1,0,4,1,4.298300635770168,0,2444.5,2444.5,3.4088972217487644e-05
19.0,41482.0,60131.0,639.0,0.36,0,0,1,0,1.4495335438613408,0,2074.1,2212.3733333333334,0.0
42.0,113180.0,591638.0,697.3932627423588,0.08,0,0,2,0,5.227361482934414,1,2632.093023255814,8677.133333333333,0.0
56.0,56242.0,421812.0,829.0,0.32,1,1,4,0,7.499813310100812,2,986.7017543859649,3187.0466666666666,3.5559348552734516e-05
33.0,106240.0,459792.0,764.0,0.36,1,1,3,0,4.327820709518924,1,3124.705882352941,5666.133333333334,1.8824946819525236e-05
33.0,138478.0,67664.0,487.0,0.32,0,1,0,0,0.48862282367723625,1,4072.8823529411766,7847.086666666666,0.0
44.0,151103.0,469051.0,749.0,0.32,0,0,3,0,3.1041600487081746,1,3357.8444444444444,8562.503333333332,0.0
40.0,73506.0,653203.0,525.0,0.4,0,0,0,0,8.886269334893276,1,1792.8292682926829,3675.2999999999997,0.0
35.0,93929.0,953370.0,777.0,0.37,1,0,3,0,10.149792398594698,1,2609.1388888888887,4931.2725,2.1292225143988673e-05
51.0,114035.0,830828.0,774.0,0.0,1,1,3,0,7.285664176225052,2,2192.980769230769,9502.916666666666,1.753816743688452e-05
38.0,92563.0,1044314.0,754.0,0.49,1,0,3,1,11.28207510479236,1,2373.4102564102564,3933.9275,2.1606438718738184e-05
43.0,151696.0,689527.0,762.0,0.17,0,0,3,0,4.5454227835751535,1,3447.6363636363635,10492.306666666665,0.0
56.0,84278.0,383300.0,850.0,0.37,0,1,4,0,4.547989416106029,2,1478.561403508772,4424.595,0.0
21.0,84489.0,1030253.0,679.094742738325,0.54,1,0,2,1,12.193786246893124,0,3840.409090909091,3238.7449999999994,2.367116024191926e-05
28.0,46646.0,583033.0,850.0,0.37,1,0,4,0,12.498831650481275,0,1608.4827586206898,2448.915,4.287429257417253e-05
21.0,92270.0,574178.0,735.0668579293101,0.29,0,0,2,0,6.222735203910221,0,4194.090909090909,5459.308333333333,0.0
58.0,33232.0,372404.0,781.0,0.5,0,1,3,1,11.205849607318028,2,563.2542372881356,1384.6666666666667,0.0
51.0,115446.0,817937.0,553.0,0.25,1,1,0,0,7.084956733392812,2,2220.1153846153848,7215.375,1.73238167833137e-05
51.0,145865.0,650366.0,586.0,0.35,0,0,1,0,4.458653832969986,2,2805.096153846154,7901.020833333333,0.0
44.0,49654.0,424961.0,596.0,0.32,0,0,1,0,8.558272077333601,1,1103.4222222222222,2813.726666666666,0.0
41.0,78975.0,539842.0,625.9077007492866,0.27,1,1,1,0,6.835519651539708,1,1880.357142857143,4804.3125,2.5323828456386037e-05
56.0,53675.0,812036.0,656.0382558141977,0.45,1,1,1,1,15.128474551009763,2,941.6666666666666,2460.104166666667,3.725990647763474e-05
29.0,124614.0,617109.0,811.1387556738431,0.43,1,1,4,1,4.9521245435942705,0,4153.8,5919.165000000001,1.6049303460229826e-05
46.0,146833.0,647174.0,647.9855665493066,0.57,0,0,1,1,4.407521418744977,2,3124.1063829787236,5261.515833333334,0.0
45.0,120593.0,458177.0,767.0,0.23,0,1,3,0,3.79933495862149,1,2621.586956521739,7738.050833333334,0.0
25.0,105556.0,437874.0,727.4772016116203,0.07,1,0,2,0,4.148223234839945,0,4059.846153846154,8180.589999999999,1.894692965005021e-05
21.0,47313.0,223177.0,548.0,0.14,0,1,0,0,4.7169336771357315,0,2150.590909090909,3390.765,0.0
29.0,88582.0,352597.0,818.991447435729,0.1,0,0,4,0,3.9804138491584165,0,2952.733333333333,6643.650000000001,0.0
23.0,49827.0,316453.0,691.0,0.33,1,0,2,0,6.350907120494501,0,2076.125,2782.0074999999997,4.013726946155853e-05
37.0,124299.0,722870.0,665.2189101553344,0.33,1,0,1,0,5.815526950925181,1,3271.0263157894738,6940.027499999999,1.608997514098841e-05
45.0,71991.0,240432.0,835.0,0.19,1,0,4,0,3.339704411601289,1,1565.0217391304348,4859.392500000001,2.7780478657647272e-05
49.0,48575.0,987664.0,790.0,0.28,1,0,3,0,20.332345191040844,2,971.5,2914.5,4.1171747946559074e-05
34.0,142182.0,848431.0,763.0,0.34,1,1,3,0,5.967176104034941,1,4062.342857142857,7820.009999999999,1.4066280312834073e-05
21.0,47758.0,414899.0,739.0,0.41,0,1,2,1,8.687346887497645,0,2170.818181818182,2348.101666666667,0.0
43.0,32265.0,485489.0,707.0,0.2,1,1,2,0,15.046457571437426,1,733.2954545454545,2151.0,6.198283075588062e-05
46.0,94067.0,428002.0,533.0,0.39,1,1,0,0,4.549921333503423,2,2001.4255319148936,4781.739166666666,2.126098927383091e-05
39.0,98068.0,104377.0,678.0,0.29,0,1,2,0,1.0643220589584883,1,2451.7,5802.356666666667,0.0
53.0,140618.0,720161.0,850.0,0.62,0,0,4,1,5.121363400393973,2,2604.037037037037,4452.903333333334,0.0
39.0,74194.0,551386.0,835.0,0.55,0,1,4,1,7.431578947368421,1,1854.85,2782.2749999999996,0.0
65.0,69717.0,554420.0,568.0,0.5,0,0,0,1,7.952322212341146,3,1056.3181818181818,2904.875,0.0
28.0,52628.0,450985.0,700.0,0.09,1,0,2,0,8.569134887609493,0,1814.7586206896551,3990.956666666667,3.800114003420103e-05
59.0,53483.0,418624.0,669.3415759863386,0.1987971383018575,0,0,1,0,7.827088475057962,2,891.3833333333333,3570.8943876834796,0.0
52.0,53093.0,449369.0,670.4855944430175,0.0,0,0,2,0,8.463649376577392,2,1001.7547169811321,4424.416666666667,0.0
35.0,86172.0,527760.0,744.0,0.14,0,1,3,0,6.124424123565386,1,2393.6666666666665,6175.66,0.0
45.0,36148.0,357473.0,504.0,0.32,0,0,0,0,9.888876594096656,1,785.8260869565217,2048.3866666666668,0.0
67.0,107284.0,939368.0,563.0,0.29,1,0,0,0,8.75581861397213,3,1577.7058823529412,6347.636666666666,1.8641761273605132e-05
40.0,42591.0,146751.0,560.0,0.14,1,0,0,0,3.4455061983471076,1,1038.8048780487804,3052.355,4.695607259408823e-05
61.0,49570.0,665021.0,554.0,0.46,0,0,0,1,13.415525206269795,3,799.516129032258,2230.65,0.0
52.0,76059.0,910741.0,840.0,0.1644159909775092,1,0,4,0,11.973981067578228,2,1435.0754716981132,5296.140345186803,2.6294684529522356e-05
51.0,30391.0,435883.0,593.0,0.35,0,0,1,0,14.34203079757831,2,584.4423076923077,1646.1791666666668,0.0
38.0,65231.0,595671.0,597.0,0.49,1,1,1,1,9.131576526857984,1,1672.5897435897436,2772.3174999999997,3.065932886729109e-05
34.0,141921.0,769014.0,688.2408747963609,0.24,0,1,2,0,5.41856794577303,1,4054.885714285714,8988.33,0.0
43.0,113071.0,988405.0,838.0,0.18,0,0,4,0,8.741377175604924,1,2569.7954545454545,7726.518333333333,0.0
44.0,158112.0,182502.0,717.0,0.41,1,1,2,1,1.1542504411401973,1,3513.6,7773.840000000001,1.264910128135396e-05
54.0,143067.0,266770.0,657.0,0.47,0,1,1,1,1.864637794615148,2,2601.2181818181816,6318.7925000000005,0.0
37.0,92904.0,1003981.0,695.6874547015173,0.53,0,0,2,1,10.806533555782789,1,2444.842105263158,3638.74,0.0
63.0,104191.0,900847.0,746.0,0.3,0,0,3,0,8.646028485872236,3,1627.984375,6077.808333333333,0.0
40.0,43121.0,515511.0,661.7077539507098,0.6,1,1,1,1,11.954709892862112,1,1051.7317073170732,1437.3666666666668,4.637896250260882e-05
36.0,115919.0,892490.0,644.4091663826019,0.3,0,0,1,0,7.699189095928227,1,3132.945945945946,6761.941666666666,0.0
44.0,118009.0,480648.0,813.0,0.25,0,1,4,0,4.072942970934666,1,2622.4222222222224,7375.5625,0.0
66.0,38135.0,61295.0,850.0,0.46,0,0,4,1,1.6072739668554648,3,569.179104477612,1716.075,0.0
25.0,131789.0,833662.0,850.0,0.39,1,0,4,0,6.3256848015782685,0,5068.807692307692,6699.274166666666,1.5175543094748504e-05
23.0,37441.0,770729.0,656.0037848300019,0.17,0,1,1,0,20.58461086480423,0,1560.0416666666667,2589.6691666666666,0.0
57.0,90257.0,1011827.0,850.0,0.26,0,1,4,0,11.210385782977687,2,1556.155172413793,5565.848333333332,0.0
27.0,118103.0,192302.0,769.2718509182846,0.28,1,0,3,0,1.6282429045586941,0,4217.964285714285,7086.18,1.6934084077727447e-05
63.0,56402.0,522077.0,638.5441614052527,0.1128447466714439,1,1,1,0,9.256192046522347,3,881.28125,4169.777549853102,3.5458478122118996e-05
56.0,138976.0,311989.0,578.0,0.36,0,0,0,0,2.2448966375731234,2,2438.1754385964914,7412.053333333333,0.0
22.0,54626.0,386344.0,796.0,0.39,1,1,3,0,7.072400095191023,0,2375.0434782608695,2776.8216666666667,3.6611261624075566e-05
58.0,56853.0,387858.0,705.0,0.25,1,1,2,0,6.8220002110669435,2,963.6101694915254,3553.3125,3.517720517104916e-05
35.0,145302.0,887465.0,838.0,0.18,1,0,4,0,6.107685319642402,1,4036.1666666666665,9928.970000000001,1.3764245994604416e-05
34.0,101192.0,266546.0,619.0,0.24,1,0,1,0,2.6340359511033373,1,2891.2,6408.826666666667,1.9764017629503725e-05
48.0,95887.0,447459.0,573.0,0.4,1,0,0,0,4.66647547138328,2,1956.8775510204082,4794.349999999999,2.0857449759617892e-05
40.0,153697.0,760773.0,811.0,0.45,1,1,4,1,4.9497911488763675,1,3748.7073170731705,7044.445833333334,1.301244640498637e-05
59.0,59771.0,163602.0,743.0,0.43,0,1,3,1,2.737100983738205,2,996.1833333333333,2839.1225,0.0
63.0,76741.0,462023.0,516.0,0.38,0,0,0,0,6.020471189179328,3,1199.078125,3964.9516666666664,0.0
30.0,126982.0,387243.0,644.958521729865,0.16,1,0,1,0,3.049565689895498,0,4096.193548387097,8888.74,1.575001575001575e-05
62.0,90099.0,331834.0,631.4361351055951,0.0,0,1,1,0,3.6829522752497224,3,1430.142857142857,7508.25,0.0
36.0,34428.0,745446.0,689.0,0.03,1,0,2,0,21.651688983124693,1,930.4864864864865,2782.93,5.808887598024978e-05
52.0,37260.0,787686.0,510.0,0.31,0,0,0,0,21.139690292799443,2,703.0188679245283,2142.45,0.0
57.0,28418.0,718707.0,729.0,0.33,1,1,2,0,25.289665364720786,2,489.9655172413793,1586.6716666666664,7.037297677691766e-05
50.0,54876.0,720663.0,700.7907580480953,0.4,1,0,2,0,13.132332306795197,2,1076.0,2743.7999999999997,3.644447683953497e-05
33.0,65742.0,229070.0,789.0,0.4,1,1,3,0,3.4843253274112835,1,1933.5882352941176,3287.1,3.0421027013871987e-05
41.0,161533.0,591163.0,737.0,0.41,1,1,2,1,3.659681553109562,1,3846.0238095238096,7942.039166666668,1.2381217692760083e-05
39.0,40227.0,292510.0,592.0,0.22,1,1,1,0,7.271303569652978,1,1005.675,2614.755,4.971537945263367e-05
22.0,38536.0,261097.0,579.0,0.3,1,1,0,0,6.775229000700626,0,1675.4782608695652,2247.933333333333,5.189682910374176e-05
60.0,79669.0,987019.0,715.0,0.33,0,1,2,0,12.388841471068156,2,1306.049180327869,4448.185833333333,0.0
24.0,81434.0,171343.0,681.5011888142398,0.45,1,0,2,1,2.104046171793455,0,3257.36,3732.391666666667,2.4559163023724152e-05
40.0,141915.0,629554.0,783.0,0.09,0,1,3,0,4.436103046872798,1,3461.3414634146343,10761.8875,0.0
27.0,113961.0,606920.0,564.3836309745767,0.31,1,0,0,0,5.325634860743055,0,4070.035714285714,6552.7575,1.7549555557505508e-05
54.0,44433.0,865475.0,502.0,0.27,1,1,0,0,19.47776477472206,2,807.8727272727273,2703.0075,4.500956453246315e-05
49.0,86207.0,570690.0,670.4565084643993,0.2,1,1,2,0,6.619919265033408,2,1724.14,5747.133333333334,2.3199433933812015e-05
49.0,116236.0,295399.0,499.0,0.43,0,1,0,1,2.5413508607414164,2,2324.72,5521.21,0.0
55.0,153514.0,620208.0,589.0,0.36,1,1,1,0,4.04004820375859,2,2741.3214285714284,8187.413333333334,1.3027957997863415e-05
33.0,119215.0,293944.0,693.0,0.3,1,0,2,0,2.4656421956784325,1,3506.323529411765,6954.208333333333,1.677613092092571e-05
57.0,70909.0,733326.0,801.0,0.202060982362036,1,1,4,0,10.341644337893104,2,1222.5689655172414,4715.088150140865,2.820436885673591e-05
38.0,109754.0,380384.0,725.0,0.53,1,0,2,1,3.4657555464443535,1,2814.2051282051284,4298.698333333333,1.8222238419767486e-05
40.0,76092.0,359111.0,539.0,0.38,0,0,0,0,4.719369718633777,1,1855.9024390243903,3931.42,0.0
35.0,152782.0,1057813.0,808.0,0.26,0,1,4,0,6.923630246820654,1,4243.944444444444,9421.556666666665,0.0
28.0,70809.0,142115.0,850.0,0.0,0,0,4,0,2.006990538059596,0,2441.689655172414,5900.75,0.0
58.0,84413.0,852301.0,671.1157524907476,0.46,0,0,2,1,10.096678276115336,2,1430.7288135593221,3798.5850000000005,0.0
55.0,53450.0,403531.0,821.0,0.33,1,0,4,0,7.5495500551907355,2,954.4642857142857,2984.291666666666,3.741674773628676e-05
53.0,106711.0,439099.0,648.3634051945729,0.1303438697706717,1,0,1,0,4.114804333158408,2,1976.1296296296296,7733.489609408488,1.8741859004994705e-05
39.0,95352.0,281601.0,719.0,0.42,1,1,2,1,2.9532474070034502,1,2383.8,4608.68,2.097447406506282e-05
44.0,95624.0,724454.0,696.0,0.15,0,0,2,0,7.5759895424836605,1,2124.9777777777776,6773.366666666666,0.0
23.0,118704.0,156061.0,746.2149217261783,0.25,1,1,3,0,1.3146960953624531,0,4946.0,7419.0,1.684834801947669e-05
64.0,98047.0,319459.0,628.6785344059601,0.1507666406417222,1,0,1,0,3.2581898661879896,3,1508.4153846153847,6938.731932083422,2.039796428316454e-05
30.0,100454.0,121472.0,771.0,0.16,1,1,3,0,1.2092180578368423,0,3240.451612903226,7031.78,1.9909213984231903e-05
34.0,42713.0,417030.0,787.0,0.12,1,1,3,0,9.76330945357494,1,1220.3714285714286,3132.286666666667,4.6821959499005034e-05
56.0,45831.0,115611.0,850.0,0.0881553943311491,0,1,4,0,2.5224951998603595,2,804.0526315789474,3482.5625102007593,0.0
36.0,41643.0,184920.0,850.0,0.46,0,0,4,1,4.440495629622514,1,1125.4864864864865,1873.9350000000002,0.0
31.0,80344.0,650662.0,546.0,0.19,0,0,0,0,8.098350861908022,1,2510.75,5423.22,0.0
67.0,162029.0,819798.0,840.0,0.095515999934966,0,1,4,0,5.059544528790965,3,2382.779411764706,12212.71983721145,0.0
58.0,153921.0,649350.0,532.0,0.36,0,1,0,0,4.2186951832746455,2,2608.830508474576,8209.12,0.0
64.0,158083.0,1048923.0,555.0,0.3,1,0,0,0,6.635225576275904,3,2432.0461538461536,9221.508333333333,1.2651421703513932e-05
37.0,176327.0,681032.0,759.0,0.22,1,1,3,0,3.8623020734086477,1,4640.184210526316,11461.255,1.1342433746008881e-05
59.0,77513.0,564516.0,677.6163762199525,0.1478728913505134,1,1,2,0,7.282761823670563,2,1291.8833333333334,5504.244047728971,2.5801457782364705e-05
62.0,40287.0,894007.0,850.0,0.1401215000378716,0,0,4,0,22.190404090548054,3,639.4761904761905,2886.8270939978556,0.0
62.0,98872.0,171056.0,749.0,0.43,1,1,3,1,1.7300577508521031,3,1569.3968253968253,4696.420000000001,2.022776462973077e-05
23.0,63771.0,310014.0,821.0,0.12,1,1,4,0,4.861287085241171,0,2657.125,4676.54,3.136123437818513e-05
25.0,100047.0,309073.0,495.0989429921906,0.35,0,0,0,0,3.089247161362546,0,3847.9615384615386,5419.212500000001,0.0
30.0,123925.0,717456.0,850.0,0.3,1,0,4,0,5.789390442683537,0,3997.5806451612902,7228.958333333333,1.6138533168720295e-05
61.0,128648.0,168381.0,767.0,0.39,1,0,3,0,1.3088403329990905,3,2074.967741935484,6539.606666666667,1.554605518849592e-05
49.0,92106.0,83698.0,630.0,0.1,1,1,1,0,0.9087040072958624,2,1842.12,6907.950000000001,2.1713640508967733e-05
57.0,129199.0,825744.0,524.0,0.5,0,0,0,1,6.3912074303405575,2,2227.5689655172414,5383.291666666667,0.0
19.0,83501.0,658253.0,839.9986720050288,0.54,0,0,4,1,7.883080644774975,0,4175.05,3200.8716666666664,0.0
35.0,114308.0,522372.0,737.0,0.21,0,0,2,0,4.569823898380705,1,3175.222222222222,7525.276666666668,0.0
56.0,103538.0,361312.0,523.0,0.1938321953712888,1,1,0,0,3.489622267937685,2,1816.4561403508771,6955.750179637292,1.9316206297083253e-05
27.0,131701.0,112837.0,715.4823843204724,0.25,1,1,2,0,0.8567599580871968,0,4703.607142857143,8231.3125,1.5185682938125935e-05
47.0,38250.0,633167.0,583.0,0.28,0,0,1,0,16.552952863977414,2,796.875,2295.0,0.0
36.0,91743.0,966492.0,550.0,0.43,0,0,0,1,10.534661667247994,1,2479.5405405405404,4357.7925000000005,0.0
59.0,146410.0,777892.0,754.0,0.0993205788149016,0,1,3,0,5.3130707392204135,2,2440.1666666666665,10989.03950464252,0.0
62.0,83497.0,164846.0,687.0,0.202179078071845,1,1,2,0,1.9742508802606051,3,1325.3492063492063,5551.30445985293,2.3952382663265428e-05
52.0,32497.0,566767.0,557.0,0.42,0,1,0,1,17.440057849713828,2,613.1509433962265,1570.6883333333335,0.0
50.0,102552.0,250249.0,663.0,0.37,1,1,1,0,2.4401919007732586,2,2010.8235294117646,5383.9800000000005,1.9501920939212512e-05
60.0,89912.0,659390.0,690.0,0.25,1,1,2,0,7.333644745476183,2,1473.967213114754,5619.5,2.2243477100340324e-05
54.0,103907.0,641307.0,721.0,0.28,0,1,2,0,6.171873195519113,2,1889.2181818181818,6234.419999999999,0.0
44.0,31497.0,265873.0,589.0,0.25,0,1,1,0,8.440948631659152,1,699.9333333333333,1968.5625,0.0
34.0,85821.0,950738.0,710.0,0.1,1,1,2,0,11.078021952413135,1,2452.0285714285715,6436.575000000001,2.3303776376961886e-05
58.0,114557.0,476521.0,503.0,0.1850380052949866,0,0,0,0,4.159648387716266,2,1941.6440677966102,7779.966768951851,0.0
21.0,111902.0,723530.0,700.1688555287839,0.51,1,0,2,1,6.46568903425288,0,5086.454545454545,4569.331666666666,1.7872462110380328e-05
25.0,129437.0,447669.0,850.0,0.31,0,1,4,0,3.4585593102489223,0,4978.346153846154,7442.6275,0.0
61.0,120238.0,250795.0,623.0,0.45,0,1,1,1,2.085804106820582,3,1939.3225806451612,5510.908333333334,0.0
43.0,77401.0,218944.0,558.0,0.39,1,1,0,0,2.828660758119945,1,1759.1136363636363,3934.5508333333332,2.5838791778096455e-05
26.0,83973.0,718605.0,799.7130047615993,0.54,1,0,3,1,8.557470169338128,0,3110.1111111111113,3218.9649999999997,2.3816612086930633e-05
30.0,86407.0,438562.0,850.0,0.32,1,0,4,0,5.0754791223034905,0,2787.3225806451615,4896.3966666666665,2.314573713386337e-05
55.0,141665.0,888633.0,571.0,0.31,0,0,0,0,6.272733048155521,2,2529.7321428571427,8145.737499999999,0.0
54.0,99310.0,372482.0,586.0,0.1621840002701355,0,0,1,0,3.7506620616044546,2,1805.6363636363637,6933.625577764404,0.0
40.0,37546.0,110302.0,748.0,0.4,0,0,3,0,2.9377047433882866,1,915.7560975609756,1877.3,0.0
23.0,117973.0,643479.0,785.4573611292658,0.59,1,1,3,1,5.454413684371133,0,4915.541666666667,4030.744166666667,1.69527442254715e-05
54.0,48934.0,483096.0,850.0,0.220448723067167,0,0,4,0,9.872197813425974,2,889.709090909091,3178.8801821192706,0.0
24.0,94550.0,116586.0,703.5756097718385,0.45,1,0,2,1,1.2330488307897325,0,3782.0,4333.541666666667,2.1152381758185973e-05
57.0,27716.0,700396.0,742.0,0.37,1,0,3,0,25.269545766136307,2,477.86206896551727,1455.0900000000001,7.21552781585973e-05
50.0,99169.0,922262.0,846.0,0.17,1,0,4,0,9.29980840980135,2,1944.4901960784314,6859.189166666666,2.0167185971705438e-05
38.0,65693.0,340216.0,850.0,0.25,1,1,4,0,5.178798672633726,1,1684.4358974358975,4105.8125,3.0443717177867416e-05
54.0,154537.0,803434.0,720.0,0.36,0,0,2,0,5.198941360700928,2,2809.7636363636366,8241.973333333333,0.0
23.0,54882.0,118690.0,543.0,0.37,1,0,0,0,2.1626004409379953,0,2286.75,2881.3050000000003,3.644049267546097e-05
42.0,108881.0,496384.0,850.0,0.35,1,1,4,0,4.558916992707702,1,2532.1162790697676,5897.720833333334,1.8368340328609608e-05
38.0,110529.0,890319.0,750.0,0.27,1,1,3,0,8.05499864290238,1,2834.076923076923,6723.8475,1.8094471234314357e-05
44.0,112921.0,752243.0,625.4781333395277,0.32,0,0,1,0,6.661615982713732,1,2509.3555555555554,6398.856666666667,0.0
